,AUD,Indexed,BRL,Indexed,CHF,Indexed,CNY,Indexed,EUR,Indexed,GBP,Indexed,JPY,Indexed
2000-01-04,0.6562,1.0000,1.8405,1.0000,1.5565,1.0000,8.2799,1.0000,1.0309,1.0000,1.6370,1.0000,103.0900,1.0000
2000-01-05,0.6550,1.0018,1.8560,0.9916,1.5526,1.0025,8.2798,1.0000,1.0335,0.9975,1.6415,0.9973,103.7700,0.9934
2000-01-06,0.6540,1.0034,1.8400,1.0003,1.5540,1.0016,8.2797,1.0000,1.0324,0.9985,1.6475,0.9936,105.1900,0.9800
2000-01-07,0.6548,1.0021,1.8310,1.0052,1.5623,0.9963,8.2794,1.0001,1.0294,1.0015,1.6384,0.9991,105.1700,0.9802
2000-01-10,0.6561,1.0002,1.8190,1.0118,1.5704,0.9911,8.2794,1.0001,1.0252,1.0056,1.6374,0.9998,105.2800,0.9792
2000-01-11,0.6575,0.9980,1.8225,1.0099,1.5605,0.9974,8.2795,1.0000,1.0322,0.9987,1.6480,0.9933,106.0900,0.9717
2000-01-12,0.6578,0.9976,1.8350,1.0030,1.5660,0.9939,8.2796,1.0000,1.0281,1.0027,1.6465,0.9942,105.7600,0.9748
2000-01-13,0.6687,0.9813,1.8140,1.0146,1.5707,0.9910,8.2798,1.0000,1.0270,1.0038,1.6482,0.9932,106.0900,0.9717
2000-01-14,0.6665,0.9845,1.8050,1.0197,1.5945,0.9762,8.2797,1.0000,1.0128,1.0179,1.6353,1.0010,105.8600,0.9738
2000-01-18,0.6640,0.9883,1.7942,1.0258,1.5942,0.9764,8.2793,1.0001,1.0121,1.0186,1.6380,0.9994,105.4900,0.9772
2000-01-19,0.6634,0.9891,1.7930,1.0265,1.5965,0.9749,8.2797,1.0000,1.0115,1.0192,1.6438,0.9959,105.3900,0.9782
2000-01-20,0.6666,0.9844,1.7785,1.0349,1.5915,0.9780,8.2794,1.0001,1.0133,1.0174,1.6538,0.9898,105.4500,0.9776
2000-01-21,0.6621,0.9911,1.7800,1.0340,1.5973,0.9745,8.2795,1.0000,1.0100,1.0207,1.6504,0.9919,104.9600,0.9822
2000-01-24,0.6544,1.0028,1.7680,1.0410,1.6090,0.9674,8.2789,1.0001,1.0019,1.0289,1.6520,0.9909,105.5200,0.9770
2000-01-25,0.6542,1.0031,1.7800,1.0340,1.6085,0.9677,8.2786,1.0002,1.0041,1.0267,1.6482,0.9932,105.8700,0.9737
2000-01-26,0.6505,1.0088,1.7810,1.0334,1.6102,0.9667,8.2782,1.0002,1.0011,1.0298,1.6395,0.9985,105.8500,0.9739
2000-01-27,0.6550,1.0018,1.7800,1.0340,1.6317,0.9539,8.2783,1.0002,0.9890,1.0424,1.6363,1.0004,104.9100,0.9827
2000-01-28,0.6265,1.0474,1.7900,1.0282,1.6485,0.9442,8.2781,1.0002,0.9765,1.0557,1.6210,1.0099,107.1500,0.9621
2000-01-31,0.6382,1.0282,1.8020,1.0214,1.6495,0.9436,8.2777,1.0003,0.9757,1.0566,1.6182,1.0116,107.3300,0.9605
2000-02-01,0.6315,1.0391,1.7950,1.0253,1.6540,0.9411,8.2774,1.0003,0.9731,1.0594,1.6150,1.0136,107.6700,0.9575
2000-02-02,0.6360,1.0318,1.7850,1.0311,1.6502,0.9432,8.2773,1.0003,0.9768,1.0554,1.6060,1.0193,108.4000,0.9510
2000-02-03,0.6387,1.0274,1.7750,1.0369,1.6255,0.9576,8.2781,1.0002,0.9887,1.0427,1.6025,1.0215,107.9200,0.9552
2000-02-04,0.6315,1.0391,1.7730,1.0381,1.6470,0.9451,8.2788,1.0001,0.9760,1.0563,1.5915,1.0286,107.5400,0.9586
2000-02-07,0.6339,1.0352,1.7700,1.0398,1.6426,0.9476,8.2788,1.0001,0.9783,1.0538,1.5917,1.0285,108.7500,0.9480
2000-02-08,0.6353,1.0329,1.7650,1.0428,1.6301,0.9548,8.2788,1.0001,0.9862,1.0453,1.6105,1.0165,109.5900,0.9407
2000-02-09,0.6345,1.0342,1.7700,1.0398,1.6232,0.9589,8.2788,1.0001,0.9914,1.0398,1.6115,1.0158,109.1100,0.9448
2000-02-10,0.6320,1.0383,1.7700,1.0398,1.6280,0.9561,8.2788,1.0001,0.9865,1.0450,1.6057,1.0195,108.7400,0.9480
2000-02-11,0.6282,1.0446,1.7670,1.0416,1.6305,0.9546,8.2788,1.0001,0.9847,1.0469,1.5923,1.0281,108.9900,0.9459
2000-02-14,0.6279,1.0451,1.7690,1.0404,1.6435,0.9471,8.2779,1.0002,0.9783,1.0538,1.5890,1.0302,108.6500,0.9488
